Compa No.,Population,Temperature,Generation,Weight,Length,Stage
TANK3.2,HTC5,H,4,NA,37,Mature
TANK3.2,HTC5,H,4,NA,37,Mature
TANK3.2,HTC5,H,4,NA,37,Mature
TANK3.2,HTC5,H,4,NA,37,Mature
TANK3.2,HTC5,H,4,NA,37,Mature
TANK3.2,HTC5,H,4,NA,37,Mature
TANK3.2,HTC5,H,4,NA,37,Mature
TANK3.2,HTC5,H,4,NA,37,Mature
TANK3.2,HTC5,H,4,NA,37,Mature
TANK3.2,HTC5,H,4,NA,37,Mature
TANK3.2,HTC5,H,4,NA,37,Mature
TANK3.2,HTC5,H,4,NA,38,Mature
TANK3.2,HTC5,H,4,NA,38,Mature
TANK3.2,HTC5,H,4,NA,38,Mature
TANK3.2,HTC5,H,4,NA,38,Mature
TANK3.2,HTC5,H,4,NA,38,Mature
TANK3.2,HTC5,H,4,NA,38,Mature
TANK3.2,HTC5,H,4,NA,38,Mature
TANK3.2,HTC5,H,4,NA,38,Mature
TANK3.2,HTC5,H,4,NA,38,Mature
TANK3.2,HTC5,H,4,NA,38,Mature
TANK3.2,HTC5,H,4,NA,38,Mature
TANK3.2,HTC5,H,4,NA,38,Mature
TANK3.2,HTC5,H,4,NA,38,Mature
TANK3.2,HTC5,H,4,NA,38,Mature
TANK3.2,HTC5,H,4,NA,38,Mature
TANK3.2,HTC5,H,4,NA,38,Mature
TANK3.2,HTC5,H,4,NA,38,Mature
TANK3.2,HTC5,H,4,NA,38,Mature
TANK3.2,HTC5,H,4,NA,39,Mature
TANK3.2,HTC5,H,4,NA,39,Mature
TANK3.2,HTC5,H,4,NA,39,Mature
TANK3.2,HTC5,H,4,NA,39,Mature
TANK3.2,HTC5,H,4,NA,39,Mature
TANK3.2,HTC5,H,4,NA,39,Mature
TANK3.2,HTC5,H,4,NA,39,Mature
TANK3.2,HTC5,H,4,NA,39,Mature
TANK3.2,HTC5,H,4,NA,39,Mature
TANK3.2,HTC5,H,4,NA,39,Mature
TANK3.2,HTC5,H,4,NA,39,Mature
TANK3.2,HTC5,H,4,NA,40,Mature
TANK3.2,HTC5,H,4,NA,40,Mature
TANK3.2,HTC5,H,4,NA,40,Mature
TANK3.2,HTC5,H,4,NA,40,Mature
TANK3.2,HTC5,H,4,NA,40,Mature
TANK3.2,HTC5,H,4,NA,40,Mature
TANK3.2,HTC5,H,4,NA,40,Mature
TANK3.2,HTC5,H,4,NA,41,Mature
TANK3.2,HTC5,H,4,NA,41,Mature
TANK3.2,HTC5,H,4,NA,41,Mature
TANK3.2,HTC5,H,4,NA,41,Mature
TANK3.2,HTC5,H,4,NA,41,Mature
TANK3.2,HTC5,H,4,NA,41,Mature
TANK3.2,HTC5,H,4,NA,42,Mature
TANK3.2,HTC5,H,4,NA,42,Mature
TANK3.2,HTC5,H,4,NA,43,Mature
TANK3.2,HTC5,H,4,NA,43,Mature
TANK3.2,HTC5,H,4,NA,45,Mature
TANK4.2,LTC2,L,4,NA,27,Mature
TANK4.2,LTC2,L,4,NA,30,Mature
TANK4.2,LTC2,L,4,NA,31,Mature
TANK4.2,LTC2,L,4,NA,31,Mature
TANK4.2,LTC2,L,4,NA,31,Mature
TANK4.2,LTC2,L,4,NA,32,Mature
TANK4.2,LTC2,L,4,NA,32,Mature
TANK4.2,LTC2,L,4,NA,32,Mature
TANK4.2,LTC2,L,4,NA,32,Mature
TANK4.2,LTC2,L,4,NA,32,Mature
TANK4.2,LTC2,L,4,NA,32,Mature
TANK4.2,LTC2,L,4,NA,32,Mature
TANK4.2,LTC2,L,4,NA,32,Mature
TANK4.2,LTC2,L,4,NA,32,Mature
TANK4.2,LTC2,L,4,NA,32,Mature
TANK4.2,LTC2,L,4,NA,32,Mature
TANK4.2,LTC2,L,4,NA,32,Mature
TANK4.2,LTC2,L,4,NA,33,Mature
TANK4.2,LTC2,L,4,NA,33,Mature
TANK4.2,LTC2,L,4,NA,33,Mature
TANK4.2,LTC2,L,4,NA,33,Mature
TANK4.2,LTC2,L,4,NA,33,Mature
